(43289,72918): 1.0
(44209,72918): 1.0
(20886,72918): 1.0
(106916,72918): 1.0
(107968,72918): 1.0
(105619,72918): 1.0
(16168,72918): 1.0
(98893,72918): 1.33512533867
(106916,29317): 1.1367473504
(44209,29317): 1.15539418641
(95910,72918): 1.313666125
(25718,72918): 1.0
(105619,29317): 1.0
(107968,29317): 1.0
(43683,72918): 1.0
(34566,72918): 1.0
(43289,29317): 1.0
(90309,72918): 2.15857861536
(56627,72918): 1.0
(95910,29317): 1.0
(90309,29317): 1.0
(25718,29317): 1.0
(20886,29317): 1.0
(106916,34566): 1.0
(34566,29317): 1.0
(43683,29317): 1.15479635192
(105619,34566): 1.0
(25718,34566): 1.00365449933
(106916,29451): 1.0
(20886,34566): 1.00414105831
(98893,29317): 1.0
(90309,34566): 2.39862833808
(98477,72918): 1.0
(90309,29451): 1.0
(98893,34566): 1.47829005275
(25718,29451): 1.0
(105619,29451): 1.1416043983
(90309,30733): 1.03595516564
(43683,34566): 1.0
(34566,29451): 1.19981921797
(56627,29317): 1.0
(95910,34566): 1.45187983561
(98477,29317): 1.01532746126
(107968,34566): 1.0
(98893,29451): 1.18577120511
(90309,105619): 1.0
(34566,30733): 1.0
(43683,29451): 1.08003852781
(44209,34566): 1.0
(95910,29451): 1.16278270624
(56627,34566): 1.0
(90309,20886): 1.06381531658
(98893,30733): 1.0
(90309,101655): 1.0
(105619,30733): 1.0
(25718,30733): 1.0
(90309,50201): 2.63994311526
(98893,105619): 1.0
(20886,29451): 1.1626713299
(29451,72918): 1.0
(105619,20886): 1.0
(98893,20886): 1.0
(43289,34566): 1.0
(44209,29451): 1.04599570789
(95910,30733): 1.0
(43289,29451): 1.13187886902
(106916,30733): 1.24533267827
(56627,29451): 1.0
(95910,105619): 1.0
(98893,101655): 1.0
(90309,80796): 2.32833761498
(98893,50201): 1.5354655305
(43683,30733): 1.05368969337
(56627,30733): 1.0
(95910,20886): 1.0
(25718,105619): 1.00461267742
(105619,101655): 1.0
(98893,80796): 1.46059772666
(29451,29317): 1.0
(21457,72918): 1.05644898258
(98893,90309): 1.0
(90309,43683): 2.3978477276
(95910,101655): 1.0
(25718,20886): 1.0
(105619,50201): 1.0
(34566,105619): 1.0
(43683,105619): 1.0
(98477,34566): 1.0
(34566,20886): 1.23465372508
(43683,20886): 1.03814130367
(29451,34566): 1.00358000253
(21457,29317): 1.0
(29451,30733): 1.0
(25718,101655): 1.17251544395
(20886,30733): 1.0
(21457,34566): 1.0
(29451,105619): 1.0
(20886,105619): 1.0
(95910,50201): 1.50414274642
(56627,105619): 1.0
(34566,101655): 1.0
(43683,101655): 1.0
(34566,50201): 1.0
(43683,50201): 1.0
(95910,80796): 1.43563658131
(56627,20886): 1.0
(20886,101655): 1.0652132058
(21457,29451): 1.0
(29451,20886): 1.0
(56627,101655): 1.0
(95910,90309): 1.0
(98477,29451): 1.24344310163
(107968,29451): 1.05631861472
(105619,80796): 1.0
(25718,50201): 1.0
(105619,90309): 1.0
(56627,50201): 1.0
(95910,43683): 1.45169764941
(106916,105619): 1.0
(30550,72918): 1.07848114508
(80796,72918): 1.0
(30550,29317): 1.0
(29451,101655): 1.0
(21457,30733): 1.0
